epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_auprc,val_auroc,val_best_threshold,val_f1,val_loss
0,9,,,1.8658983707427979,,,,,,
0,19,,,1.3398263454437256,,,,,,
0,20,,,,0.22891566157341003,0.1512298583984375,0.5305164456367493,0.5199999809265137,0.28985506296157837,1.1753513813018799
0,20,0.49925485253334045,1.2883102893829346,,,,,,,
1,29,,,1.2230746746063232,,,,,,
1,39,,,1.5365252494812012,,,,,,
1,41,,,,0.8192771077156067,0.204810231924057,0.6173708438873291,0.4599999785423279,0.31111112236976624,1.1606525182724
1,41,0.6497764587402344,1.2110539674758911,,,,,,,
2,49,,,1.2886970043182373,,,,,,
2,59,,,1.9570214748382568,,,,,,
2,62,,,,0.14457830786705017,0.13109175860881805,0.4107981324195862,0.5299999713897705,0.25531914830207825,1.1921757459640503
2,62,0.5320417284965515,1.2297253608703613,,,,,,,
3,69,,,1.2147552967071533,,,,,,
